"date","nest","obs","ID","hour","sex","mate_presence","arrival_order","first_feeder","feeding","gesture","gesture_mate","time","observer","ceased_wing.fluttering","note"
"4/25/2025","23C","C23C","23Cfemale","9h16","female","yes",1,"male",0,1,0,NA,"MD-TL-SB",1,""
"4/25/2025","23C","D23C","23Cfemale","9h20","female","yes",1,"male",0,1,0,NA,"MD-TL-SB",1,""
"4/25/2025","23C","F23C","23Cfemale","9h25","female","yes",1,"male",0,1,0,NA,"MD-TL-SB",1,""
"4/25/2025","23C","I23C","23Cfemale","9h35","female","yes",2,"male",1,1,0,NA,"MD-TL-SB",1,"Femelle nourrit dès que le mâle sort"
"4/25/2025","23C","K23C","23Cfemale","9h45","female","yes",1,"male",0,1,0,NA,"MD-TL-SB",0,""
"4/25/2025","23C","L23C","23Cfemale","9h51","female","yes",1,"male",0,1,0,NA,"MD-TL-SB",0,""
"4/25/2025","23C","P23C","23Cfemale","10h16","female","yes",1,"male",0,1,0,NA,"MD-TL-SB",1,""
"4/25/2025","23C","S23C","23Cfemale","10h25","female","yes",2,"male",1,1,0,NA,"MD-TL-SB",1,"nourrit juste après sortie mâle"
"4/25/2025","23C","Y23C","23Cfemale","10h36","female","yes",1,"male",1,1,0,NA,"MD-TL-SB",1,"nourrit juste après le mâle"
"4/25/2025","23C","EE23C","23Cfemale","10h45","female","yes",2,"male",1,1,0,NA,"MD-TL-SB",0,""
"4/25/2025","23C","II23C","23Cfemale","10h51","female","yes",1,"male",1,1,0,NA,"MD-TL-SB",1,""
"4/25/2025","23C","UU23C","23Cfemale","11h09","female","yes",2,"male",1,1,0,NA,"MD-TL-SB",1,"mouvement avant nourrissage du mâle"
"4/29/2025","41C","R41C","41Cfemale","11h20","female","yes",1,"male",0,1,0,NA,"KT_ML-SB",1,"la femelle reste proche du nichoir pendant que le male fait des aller-retours pour nourrir"
"4/29/2025","41C","W41C","41Cfemale","11h24","female","yes",1,"male",0,1,0,NA,"KT_ML-SB",1,"la femelle reste proche du nichoir pendant que le male fait des aller-retours pour nourrir"
"4/29/2025","35C","P35C","35Cfemale","10h40","female","yes",1,"male",0,1,0,NA,"CH-MD-RB",1,""
"4/29/2025","35C","CC35C","35Cfemale","11h08","female","yes",1,"male",0,1,0,NA,"CH-MD-RB",1,"fait un aller-retour sur le nichoir sans rentrer"
"4/29/2025","35C","DD35C","35Cfemale","11h09","female","yes",1,"male",0,1,0,NA,"CH-MD-RB",1,""
"4/30/2025","22C","G22C","22Cfemale","10h05","female","yes",1,"male",0,1,0,NA,"SB-KT-RB",1,""
"5/7/2025","13B","AA13B","13Bfemale","9h55","female","yes",1,"male",0,1,0,NA,"MD-CH-ML",1,""
"5/7/2025","13B","DD13B","13Bfemale","10h00","female","yes",1,"male",0,1,0,NA,"MD-CH-ML",0,""
"5/7/2025","13B","SSS13C","13Bfemale","10h54","female","yes",1,"male",1,1,0,NA,"MD-CH-ML",1,""
"5/7/2025","13C","U13C","13Cfemale","10h25","female","yes",1,"male",0,1,0,NA,"KT-RB-SB",1,""
"5/13/2025","36C","VV36C","36Cfemale","10h42","female","yes",1,"female",1,1,0,29,"MD-RB-KT",1,""
"5/13/2025","33C","TT33C","33Cfemale","11h09","female","yes",1,"male",1,1,0,NA,"ML-CH-SB",0,"femelle cntinue geste après entrée du male "
"5/13/2025","36C","J36C","36Cfemale","9h32","female","yes",1,"male",0,1,0,NA,"MD-RB-KT",1,""
"5/13/2025","36C","S36C","36Cfemale","9h49","female","yes",1,"male",0,1,0,NA,"MD-RB-KT",1,""
"5/13/2025","36C","U36C","36Cfemale","9h53","female","yes",1,"male",1,1,0,NA,"MD-RB-KT",1,""
"5/13/2025","33C","II33C","33Cfemale","10h47","female","yes",1,NA,0,1,0,NA,"ML-CH-SB",1,""
"5/13/2025","33C","KK33C","33Cfemale","10h50","female","yes",2,NA,0,1,0,NA,"ML-CH-SB",1,""
