"date","start_time","observation_time.min.sec.","observation_time.sec.","individualID","sex","gesture","mate.parent_presence","ceased_wing.fluttering","ID","mate.parent_presence.num"
"6/6/2025","15h48","8min23",503,"F06","FLEDG",0,"0",NA,"F06",0
"6/6/2025","15h48","8min23",503,"F06","FLEDG",0,"0",NA,"F06",0
"6/6/2025","15h48","8min23",503,"F06","FLEDG",0,"0",NA,"F06",0
"6/6/2025","15h48","8min23",503,"F06","FLEDG",0,"0",NA,"F06",0
"6/6/2025","15h48","8min23",503,"F06","FLEDG",1,"1",1,"F06",1
"6/6/2025","15h48","8min23",503,"F06","FLEDG",1,"1",NA,"F06",1
"6/6/2025","15h48","8min23",503,"F06","FLEDG",1,"1",1,"F06",1
"6/6/2025","10h26","5min31",331,"K06","FLEDG",0,"0",NA,"K06",0
"6/6/2025","10h26","5min31",331,"K06","FLEDG",0,"0",NA,"K06",0
"6/6/2025","10h26","5min31",331,"K06","FLEDG",0,"0",NA,"K06",0
"6/6/2025","10h26","5min31",331,"K06","FLEDG",1,"1",1,"K06",1
"6/6/2025","10h26","5min31",331,"K06","FLEDG",1,"1",0,"K06",1
"6/11/2025","9h45","3min32",212,"E11","FLEDG",0,"0",NA,"E11",0
"6/11/2025","9h45","3min32",212,"E11","FLEDG",0,"1",NA,"E11",1
"6/11/2025","11h05","3min04",184,"G11","FLEDG",0,"0",NA,"G11",0
"6/12/2025","12h00","13min24",804,"E12","FLEDG",0,"1",NA,"E12",1
"6/12/2025","12h00","13min24",804,"E12","FLEDG",0,"0",NA,"E12",0
"6/13/2025","11h36","2min23",143,"F13","FLEDG",0,"1",NA,"F13",1
"6/13/2025","11h36","2min23",143,"F13","FLEDG",0,"0",NA,"F13",0
"6/16/2025","10h40","6min14",374,"C16","FLEDG",0,"1",NA,"C16",1
"6/17/2025","9h38","23min10",1390,"B17","FLEDG",0,"0",NA,"B17",0
"6/17/2025","9h38","23min10",1390,"B17","FLEDG",0,"1",NA,"B17",1
"6/18/2025","9h50","6min35",395,"B18","FLEDG",0,"0",NA,"B18",0
"6/18/2025","9h50","6min35",395,"B18","FLEDG",0,"1",NA,"B18",1
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",0,"0",NA,"C18",0
"6/18/2025","10h02","10min02",602,"C18","FLEDG",1,"1",1,"C18",1
"6/18/2025","10h02","10min02",602,"C18","FLEDG",1,"1",1,"C18",1
"6/18/2025","10h02","10min02",602,"C18","FLEDG",1,"1",1,"C18",1
"6/18/2025","10h02","10min02",602,"C18","FLEDG",1,"1",1,"C18",1
"6/18/2025","10h02","10min02",602,"C18","FLEDG",1,"1",1,"C18",1
"6/18/2025","10h02","10min02",602,"C18","FLEDG",1,"1",1,"C18",1
"6/18/2025","10h02","10min02",602,"C18","FLEDG",1,"1",1,"C18",1
"6/18/2025","10h47","8min51",531,"E18","FLEDG",1,"1",1,"E18",1
"6/18/2025","10h47","8min51",531,"E18","FLEDG",1,"1",1,"E18",1
"6/18/2025","10h47","8min51",531,"E18","FLEDG",1,"1",1,"E18",1
